threshold,precision,recall,f1,model
0.05,0.3472222222222222,0.9264705882352942,0.505131494547787,LogisticRegression
0.060000000000000005,0.3726007677543186,0.9135294117647059,0.5293115201090661,LogisticRegression
0.07,0.39901477832512317,0.9052941176470588,0.5538959870433687,LogisticRegression
0.08000000000000002,0.4190502638156068,0.8876470588235295,0.5693265421618563,LogisticRegression
0.09000000000000001,0.4397037037037037,0.8729411764705882,0.5848275862068966,LogisticRegression
0.1,0.4598060681889271,0.8647058823529412,0.6003675719828466,LogisticRegression
0.11000000000000001,0.477175697865353,0.8547058823529412,0.6124341412012645,LogisticRegression
0.12000000000000001,0.49654218533886585,0.8447058823529412,0.6254355400696864,LogisticRegression
0.13,0.5137382501807665,0.8358823529411765,0.6363636363636364,LogisticRegression
0.14,0.5290128108515448,0.8258823529411765,0.6449242076251722,LogisticRegression
0.15000000000000002,0.543035993740219,0.8164705882352942,0.6522556390977443,LogisticRegression
0.16000000000000003,0.5559144125958821,0.81,0.6593248743117069,LogisticRegression
0.17000000000000004,0.5721476510067114,0.8023529411764706,0.6679725759059746,LogisticRegression
0.18000000000000005,0.5857577073382545,0.7935294117647059,0.6739945041219085,LogisticRegression
0.19,0.6012601260126013,0.7858823529411765,0.6812850586435492,LogisticRegression
0.2,0.6159554730983302,0.7811764705882352,0.6887966804979253,LogisticRegression
0.21000000000000002,0.626546146527117,0.7747058823529411,0.6927932667017359,LogisticRegression
0.22000000000000003,0.6397058823529411,0.7676470588235295,0.6978609625668449,LogisticRegression
0.23000000000000004,0.6473236618309155,0.7611764705882353,0.6996485536631522,LogisticRegression
0.24000000000000005,0.6613566289825282,0.7570588235294118,0.7059791552386177,LogisticRegression
0.25000000000000006,0.6772823779193206,0.7505882352941177,0.7120535714285714,LogisticRegression
0.26000000000000006,0.6878393051031487,0.7452941176470588,0.7154150197628458,LogisticRegression
0.27,0.6992230854605993,0.7411764705882353,0.7195888063963449,LogisticRegression
0.28,0.7055837563451777,0.7358823529411764,0.7204146271235243,LogisticRegression
0.29000000000000004,0.7150259067357513,0.7305882352941176,0.7227233052080303,LogisticRegression
0.30000000000000004,0.725778038755138,0.7270588235294118,0.7264178665883044,LogisticRegression
0.31000000000000005,0.7323775388291517,0.7211764705882353,0.7267338470657972,LogisticRegression
0.32000000000000006,0.7434331093463653,0.7158823529411765,0.7293976625711717,LogisticRegression
0.33,0.7504643962848297,0.7129411764705882,0.7312217194570135,LogisticRegression
0.34,0.7585119798234552,0.7076470588235294,0.7321972002434571,LogisticRegression
0.35000000000000003,0.7673521850899743,0.7023529411764706,0.7334152334152334,LogisticRegression
0.36000000000000004,0.7747216764898494,0.6958823529411765,0.7331887201735358,LogisticRegression
0.37000000000000005,0.7819148936170213,0.691764705882353,0.7340823970037453,LogisticRegression
0.38000000000000006,0.7858585858585858,0.6864705882352942,0.7328100470957614,LogisticRegression
0.39000000000000007,0.7915242652084757,0.6811764705882353,0.7322162503951944,LogisticRegression
0.4000000000000001,0.7984764542936288,0.678235294117647,0.7334605597964376,LogisticRegression
0.4100000000000001,0.8051857042747022,0.6758823529411765,0.7348896706108091,LogisticRegression
0.42000000000000004,0.8125,0.6729411764705883,0.7361647361647362,LogisticRegression
0.43000000000000005,0.8178545716342692,0.668235294117647,0.7355131110391713,LogisticRegression
0.44000000000000006,0.8244330651060717,0.6629411764705883,0.7349201173785458,LogisticRegression
0.45000000000000007,0.8270509977827051,0.658235294117647,0.7330494595479856,LogisticRegression
0.4600000000000001,0.8355855855855856,0.6547058823529411,0.7341688654353562,LogisticRegression
0.4700000000000001,0.8442748091603054,0.6505882352941177,0.7348837209302326,LogisticRegression
0.4800000000000001,0.8500772797527048,0.6470588235294118,0.7348029392117569,LogisticRegression
0.49000000000000005,0.8564705882352941,0.6423529411764706,0.7341176470588235,LogisticRegression
0.5000000000000001,0.8597464342313788,0.638235294117647,0.7326130992572586,LogisticRegression
0.5100000000000001,0.8603351955307262,0.6341176470588236,0.7301049779884863,LogisticRegression
0.5200000000000001,0.864297253634895,0.6294117647058823,0.7283866575901974,LogisticRegression
0.5300000000000001,0.8685714285714285,0.6258823529411764,0.7275213675213675,LogisticRegression
0.5400000000000001,0.8717948717948718,0.62,0.7246476452389137,LogisticRegression
0.5500000000000002,0.8767812238055323,0.6152941176470588,0.7231247839612859,LogisticRegression
0.5600000000000002,0.8827527612574342,0.6111764705882353,0.7222801529370872,LogisticRegression
0.5700000000000002,0.8886032562125107,0.61,0.723404255319149,LogisticRegression
0.5800000000000002,0.8920552677029361,0.6076470588235294,0.7228831350594822,LogisticRegression
0.5900000000000002,0.8961605584642234,0.6041176470588235,0.7217146872803936,LogisticRegression
0.6000000000000002,0.8998242530755711,0.6023529411764705,0.7216349541930938,LogisticRegression
0.6100000000000001,0.9013333333333333,0.5964705882352941,0.7178761061946902,LogisticRegression
0.6200000000000001,0.903863432165319,0.591764705882353,0.7152506221116246,LogisticRegression
0.6300000000000001,0.9104204753199269,0.5858823529411765,0.7129563350035791,LogisticRegression
0.6400000000000001,0.9140480591497228,0.581764705882353,0.710999281092739,LogisticRegression
0.6500000000000001,0.9238721804511278,0.5782352941176471,0.711287988422576,LogisticRegression
0.6600000000000001,0.9261363636363636,0.5752941176470588,0.7097242380261248,LogisticRegression
0.6700000000000002,0.9298751200768491,0.5694117647058824,0.7063115651222182,LogisticRegression
0.6800000000000002,0.9345703125,0.5629411764705883,0.7026431718061674,LogisticRegression
0.6900000000000002,0.9378084896347483,0.5588235294117647,0.7003317360855142,LogisticRegression
